source_id,total_nodes,selected_nodes,selected_ratio,avg_final_score
0,1,0,0.0,13.065
1,162,33,0.2037,11.7766
10,20,8,0.4,15.171
12,53,2,0.0377,15.3964
13,31,0,0.0,12.1256
14,98,0,0.0,12.4681
15,307,0,0.0,9.3877
16,8,0,0.0,8.775
17,91,0,0.0,11.7964
18,89,0,0.0,12.4822
19,384,17,0.0443,15.0103
2,1,0,0.0,11.635
20,129,0,0.0,11.7388
21,118,0,0.0,13.087
22,27,0,0.0,12.2176
23,4817,31,0.0064,10.2643
25,85,0,0.0,10.8198
26,40,6,0.15,12.0185
30,27,4,0.1481,10.2243
31,1,0,0.0,12.805
32,539,0,0.0,12.1889
33,216,0,0.0,9.4509
34,186,0,0.0,11.7958
35,135,0,0.0,9.8607
36,236,0,0.0,11.7278
37,2,0,0.0,7.54
38,5,1,0.2,17.706
39,2,1,0.5,17.4525
4,82,1,0.0122,11.4701
40,3,0,0.0,15.08
41,21,0,0.0,11.5174
42,57,8,0.1404,11.8654
43,61,0,0.0,12.2637
44,2480,0,0.0,8.1941
45,11,0,0.0,10.0455
46,62,14,0.2258,17.0594
47,3151,55,0.0175,12.5349
5,8,6,0.75,15.4781
50,166,0,0.0,10.5574
51,34,0,0.0,13.3824
52,5,0,0.0,10.01
53,118,3,0.0254,11.4571
54,27,0,0.0,14.8417
55,10,0,0.0,13.689
56,16,0,0.0,13.8694
57,1,0,0.0,-3.445
58,15,0,0.0,12.675
59,15,2,0.1333,12.9003
6,20,4,0.2,13.611
60,1,0,0.0,10.075
61,15,0,0.0,5.9367
7,1,0,0.0,8.645
8,56,8,0.1429,14.4811
