rank,node_hash,name,protocol,server,source_count,passive_score,final_score,latency_ms
1,9c4cd09a9653d12606e8ce4ba909bed6b377a7821edd1c728046758471e7e512,yandex-1284,hysteria2,hkt1.geeknetwork.fun,1,30.5,19.825,
2,c55765bfc04547e91f4e0e8382d7d7d0454f5baebf9e8c9ff142021bccf856be,日本JP-HY2 #2,hysteria2,jp.mjhy2.com,3,30.2,19.63,
3,4feee186e3741d20c6cf57abe55e6beebb9e64e64326a4e674d356e88e0ca776,新加坡SG-HY2 #2,hysteria2,sg.mjhy2.com,3,30.0,19.5,
4,d0e26f87ad788931d223331d6507919088250cf167be1a37f8d5be8e4dba2e44,未命名 #16,hysteria2,hk01.0101.pw,1,29.5,19.175,
5,65cfa0f3d7dcd974d86e6d92c2d8df7014add4c30c25049966725da728010092,HK74｜家宽｜非常安全,hysteria2,079c035a-t5bb40-t6tn6w-jjv2.hk1.hyhuawei.com,1,29.5,19.175,
6,65e21efb0bd70063d3b8d6e3bb2cfdc9c6bb65b4822846e3af06cd5b437aa0fb,🇸🇬 新加坡 | SGP #5,vless,52.77.232.65,2,29.5,19.175,
7,406951cbcd03b7573198dc3c1c70fec50fc4fe53a5a8302ed42f120ea4d81a8c,yandex-681,hysteria2,hkt.v2bz.win,1,29.5,19.175,
8,83792c3c5d2db89b4cb4b15206dd4ab080bd122540563e8045917186dfc3d788,yandex-490,hysteria2,acckhk.fe-9.top,1,29.5,19.175,
9,509272df7ebc10af1bf9e462715cbf78bbe8f87c63e43e668b766f078b6dd90e,yandex-489,hysteria2,hyhk50.fe-9.top,1,29.5,19.175,
10,b40d5ded1339cf5815253c215b491bbcfe71a06bcc70bb731c2eae2a21a5ab5b,yandex-3799,hysteria2,hkfree.jljd.xyz,1,29.5,19.175,
11,c7c3100dd5762d603a2cb6deddfe972a350db6ef0396ab9d6c679ff936bfdc3c,yandex-208,hysteria2,hkt02ddns.poke-mon.xyz,1,29.5,19.175,
12,951d0b7f8b7997872ee950e4c78bf8c190f2707e7551efd631f7fc9a5c7a6531,yandex-207,hysteria2,hk01.poke-mon.xyz,1,29.5,19.175,
13,73f881424dc323543e2d4c1f26f627f54b8459494552948d287a0ae41cd05b05,yandex-206,hysteria2,hk02.poke-mon.xyz,1,29.5,19.175,
14,3d6e4ef9ebc21fd22033690c45099a58590942d76827dcdaceeb0779ea9e0ae9,yandex-205,hysteria2,hkt02ddns.poke-mon.xyz,1,29.5,19.175,
15,66c3d4087e406f0ed74ac2e6b8c75ea991bba61cdf94a0ce621f7a244e532880,yandex-15,hysteria2,hkmax01.767887.xyz,1,29.5,19.175,
16,535b2ed177540a2c1e220242922085ddb6f3a457dfe273ce5b526c7e4b1f7996,yandex-14,hysteria2,hkt10.344233.cc,1,29.5,19.175,
17,0d27759aa0ce574006c990ef1be452a736169f711f0e8aa4fff5d11a0c492210,yandex-1336,hysteria2,hk02.poke-mon.xyz,1,29.5,19.175,
18,47b121eeb86e62a3ba4627489857a5fb0cb1d0839bb1f4ccdb825b64e8ff69ce,yandex-13,hysteria2,hkt09.344233.cc,1,29.5,19.175,
19,eaf9282af38589cff4d4f066cb1e491dbd389f5baa20a6716a4e4ff5c077ac32,yandex-12,hysteria2,hkmax01.376897.xyz,1,29.5,19.175,
20,3a2d7b4a517a9b18d476873602f84683b7a1abefdb1722e355265403fd89987e,yandex-10,hysteria2,hkmax04.476579.xyz,1,29.5,19.175,
21,e1cd7f207a8a489a899b9752c093fc0935f3f421cf01781ab8a9c7813d75c08c,yandex-04,hysteria2,hkmax02.352343.cc,1,29.5,19.175,
22,78366021da7c451c376b14bfc3b9eadef5468efda8ecb57cd514413f54a5bc81,yandex-496,hysteria2,hdzjp.fe-9.top,1,29.3,19.045,
23,c96cdf52a8a1e48b5fed21fab3bac9dda62690f42b802e78e7cc854e8ebb764c,yandex-495,hysteria2,akjp.fe-9.top,1,29.3,19.045,
24,2356f0c3d8ae531dd6d9f9e17f167628d0e7de52f7a8e670821c5ca75520a290,yandex-491,hysteria2,4vpsjp.fe-9.top,1,29.3,19.045,
25,7712fa0f5edd7d86a4e8416f30eb29752fe451e55f596046585e76522e62ca80,yandex-38,hysteria2,jp08.476579.xyz,1,29.3,19.045,
26,52287d27ab94fd7ccdf145d8db3d8f785d9facfbb3e16a6a98910bb7ac98e5d8,yandex-37,hysteria2,jp07.476579.xyz,1,29.3,19.045,
27,072124c2d71925065f7ad041692f0c17ddfe1dd359ecc6f68e6b549d8edff73b,yandex-36,hysteria2,jp06.476579.xyz,1,29.3,19.045,
28,a0071883405ee8ad396b03c232ecf67c3781c039d9134d1e7310b29dccc40f84,yandex-35,hysteria2,1jp01.352343.cc,1,29.3,19.045,
29,7f49032e91581b580b7532c44f86ec431ed1dd5eb77e273d9585d4ba835ae106,yandex-34,hysteria2,hyfnjp06.376897.xyz,1,29.3,19.045,
30,b0f5db58d3d29082f25b39d694389aec594ee0ba9624410c5016af1d86f79934,yandex-33,hysteria2,1jp003.156786.xyz,1,29.3,19.045,
31,488cf2dcb515cf6ce563226ddba8c253ae382b6e37dabfd3c2549c311a61e1ee,yandex-2399,hysteria2,a27f4d0a-swd340-t02jph-ugw2.hy2.gotochinatown.net,1,29.3,19.045,
32,04da95d147afa4da9975f2eb33dd22cbddae1ac247d17927f39d7c396130857e,yandex-211,hysteria2,jp03.poke-mon.xyz,1,29.3,19.045,
33,7e07c404d7432e05c1958d78868cc4bd75fcfd14a46e77340f03361d003d3a5f,yandex-1762,hysteria2,jp01.poke-mon.xyz,1,29.3,19.045,
34,e84e3c6fe836db7603cf818380e54bd9b069b2f13c9ad1eab019346cd9959839,JP9｜机房｜低风险,hysteria2,jp.xn--ehqa22b.site,1,29.3,19.045,
35,75445880853620957c3512db85090b1c5bd07e5949d71cc851266f5a81cae252,JP8｜机房｜低风险,hysteria2,jp.xn--ehqa22b.site,1,29.3,19.045,
36,6f155d9346d29870e7cfa9c387120bdc6f28047604e84d8fa7fdbad439fb96ef,JP7｜机房｜低风险,hysteria2,jp.xn--ehqa22b.site,1,29.3,19.045,
37,bc94e57748cc8e5e2bc85c1439f140652761698202a7beba5f75261a050e9b24,JP6｜机房｜低风险,hysteria2,jp.xn--ehqa22b.site,1,29.3,19.045,
38,e1b90c1db3619a1d3bd47d67750a5bae784b307d7fa717a4b05d73e4b0dfb80d,JP5｜机房｜低风险,hysteria2,jp.xn--ehqa22b.site,1,29.3,19.045,
39,c8fb226a10336618884243872aa1cb03358249e8b93e123a17a678bae636130d,JP4｜机房｜低风险,hysteria2,jp.xn--ehqa22b.site,1,29.3,19.045,
40,fc353f8e61216116d398695a028db741c367ffd820710bb856c3e058ceb2b6fc,JP3｜机房｜低风险,hysteria2,jp.xn--ehqa22b.site,1,29.3,19.045,
41,d5b5511e35bf3bd6cfbe48e8f9c6543d54ccb0bbc27499ca02ab7361a3ffef4c,JP2｜机房｜低风险,hysteria2,jp.xn--ehqa22b.site,1,29.3,19.045,
42,cd5bd436f52ac3619a5f48d38a64f70e757a7e1c00288f9efecbc5e94f3206f2,JP21｜机房｜低风险,hysteria2,jp.xn--ehqa22b.site,1,29.3,19.045,
43,8bb959db0a2df9cfb34e775158521a1ad883f6c13b0778bebf8b36851d70c911,JP20｜机房｜低风险,hysteria2,jp.xn--ehqa22b.site,1,29.3,19.045,
44,0c6bd11fa97684978747e4ffe8a02b0d472282d72b283ffa9e56dfa4281ea643,JP12｜机房｜低风险,hysteria2,jp.xn--ehqa22b.site,1,29.3,19.045,
45,14a82d31d40df596938cf59cf39d86a7c9321a03b67808767dd03d186d28e486,JP11｜机房｜低风险,hysteria2,jp.xn--ehqa22b.site,1,29.3,19.045,
46,262e2a123917f1a9b052e671af30719c50f3b8199ea0ed64ac1e3893b9e8a5d8,JP10｜机房｜低风险,hysteria2,jp.xn--ehqa22b.site,1,29.3,19.045,
47,b5e274b81e303234e1a035669cc4b4d90a23faff6bfe731dbddc60a2d6cf28b1,@Trick_mobil #5 #1,hysteria2,206.71.158.23,2,29.1,18.915,
48,6aeb6e242f9b4be315e7d26cbed769d7455ab91beda21d87bcb50d0b4022fdc8,yandex-494,hysteria2,jssg.fe-9.top,1,29.1,18.915,
49,8e073ae6c0842d9117665a691a7c5f7feb616cff78ce5202fee44398f7f61bd9,yandex-32,hysteria2,sg14.352343.cc,1,29.1,18.915,
50,73dc6b01c741b97ef4e37b207954c94bc6de5ec1a30868bda63604d842fad2f8,yandex-31,hysteria2,sg13.352343.cc,1,29.1,18.915,
51,7d879b770da3766ed6ecc5c4ad4b9f8508e0a980faa84bd52bb6fb001fe9d6bb,yandex-30,hysteria2,sg11.352343.cc,1,29.1,18.915,
52,1f9b50d8b5ba0c1ce5d24e1dd25d83b7a7d0d13bef2990adaca786e4fb5d8a0e,yandex-29,hysteria2,sg10.352343.cc,1,29.1,18.915,
53,5acec0f6efb8f80ea84d39a163c6e66ed267eb59f3d6eb40fde3737a9b9022c9,yandex-28,hysteria2,sg09.453521.xyz,1,29.1,18.915,
54,383f388018d68f5d3af129bb4bc003f29d36f19bdcb4ab6f272de25948e07e63,yandex-27,hysteria2,vsg04.344233.cc,1,29.1,18.915,
55,0048998435b1327486f86e4b14c6d8232b983b70741a4094b076016e559aa0b4,yandex-26,hysteria2,sg06.453521.xyz,1,29.1,18.915,
56,fb95b0d0a0cba730dfb6800094e75a4ce1140ef1a6d00c538bd63c452e43c492,yandex-25,hysteria2,sg05.453521.xyz,1,29.1,18.915,
57,59a2441dd21383d05575210918e0366671f8494185011ec19cc3fd00f76d8719,yandex-1499,hysteria2,starlink-sgp2.2513142.xyz,1,29.1,18.915,
58,7956f660e5aaacc67052629d659962c49dfed487b82d4d8ec8446cf87c512812,yandex-1485,hysteria2,starlink-sgp.2513142.xyz,1,29.1,18.915,
59,611f9cfe80e046fde372d0d4ea61f8c1e933fe503fc8a35ebc94a5133d4a4ea4,yandex-1457,hysteria2,sg02.poke-mon.xyz,1,29.1,18.915,
60,01711e56ed8b0ec71d6cf4bbf70d5943d652fd2692cc1ca61470260b046a70a5,yandex-1452,hysteria2,starlink-sgp3.2513142.xyz,1,29.1,18.915,
61,b7b557285fa15522e01e6ac450e6919b8630bbe31fc8c0d86966a07bd9e2ed76,yandex-1420,hysteria2,sgxi.959555.xyz,1,29.1,18.915,
62,eefddba861b7a4ce511841dc37fbc8ccb8440669d2edb7ec7f15f31ae83a66bc,yandex-07,hysteria2,sg04.352343.cc,1,29.1,18.915,
63,e31f5314672c37fe94f5858717bb7c539eecc680b6ad2d26801bfe90b4a8bce2,yandex-06,hysteria2,sg03.344233.cc,1,29.1,18.915,
64,8c61625102c9e5905b86b4479e5d85a02325a1a18e06352f45922ebde08c4aa7,yandex-05,hysteria2,vsg05.344233.cc,1,29.1,18.915,
